Human_Role,LLM_Role,Agreement,Index
Metadiscourse,Metadiscourse,True,0
Metadiscourse,Metadiscourse,True,1
Borderline,Borderline,True,2
Metadiscourse,Metadiscourse,True,3
Metadiscourse,Metadiscourse,True,4
Metadiscourse,Metadiscourse,True,5
Metadiscourse,Metadiscourse,True,6
Metadiscourse,Metadiscourse,True,7
Borderline,Borderline,True,8
Borderline,Borderline,True,9
Borderline,Borderline,True,10
Metadiscourse,Metadiscourse,True,11
Borderline,Borderline,True,12
Metadiscourse,Propositional,False,13
Propositional,Propositional,True,14
Borderline,Borderline,True,15
Borderline,Borderline,True,16
Metadiscourse,Metadiscourse,True,17
Metadiscourse,Metadiscourse,True,18
Metadiscourse,Metadiscourse,True,19
Metadiscourse,Metadiscourse,True,20
Metadiscourse,Metadiscourse,True,21
Metadiscourse,Metadiscourse,True,22
Borderline,Borderline,True,23
Borderline,Borderline,True,24
Borderline,Borderline,True,25
Metadiscourse,Metadiscourse,True,26
